Cre01.g000017.t1.1	CHLRE_01g000017v5
Cre02.g146700.t1.1	CHLRE_02g146750v5
Cre02.g146750.t1.1	CHLRE_02g146850v5
Cre02.g146850.t1.1	CHLRE_02g146851v5
Cre02.g146851.t1.1	CHLRE_02g146900v5
Cre02.g146900.t1.1	CHLRE_02g146950v5
Cre02.g146950.t1.1	CHLRE_02g147000v5
Cre02.g147000.t1.1	CHLRE_02g147050v5
Cre02.g147050.t1.1	CHLRE_02g147100v5
Cre02.g147100.t1.1	CHLRE_02g147150v5
Cre02.g147150.t1.1	CHLRE_02g147300v5
Cre02.g147300.t1.1	CHLRE_02g147301v5
Cre02.g147301.t1.1	CHLRE_02g147302v5
Cre02.g147302.t1.1	CHLRE_02g147350v5
Cre02.g147350.t1.1	CHLRE_02g147450v5
Cre02.g147450.t1.1	CHLRE_02g147500v5
Cre02.g147500.t1.1	CHLRE_02g147550v5
Cre02.g147550.t1.1	CHLRE_02g147600v5
Cre02.g147600.t1.1	CHLRE_02g147650v5
Cre02.g147650.t1.1	CHLRE_02g147700v5
Cre02.g147700.t1.1	CHLRE_02g147750v5
Cre02.g147750.t1.1	CHLRE_02g147800v5
Cre02.g147800.t1.1	CHLRE_02g147850v5
Cre02.g147850.t1.1	CHLRE_02g147900v5
Cre02.g147900.t1.1	CHLRE_03g143687v5
Cre03.g143687.t1.1	CHLRE_03g143707v5
Cre03.g143707.t1.1	CHLRE_03g143727v5
Cre03.g143727.t1.1	CHLRE_03g143747v5
Cre03.g143747.t1.1	CHLRE_03g143767v5
Cre03.g143767.t1.1	CHLRE_03g143787v5
Cre03.g143787.t1.1	CHLRE_03g143807v5
Cre03.g143807.t1.1	CHLRE_03g143827v5
Cre03.g143827.t1.1	CHLRE_03g143847v5
Cre03.g143847.t1.1	CHLRE_03g143867v5
Cre03.g143867.t1.1	CHLRE_03g143887v5
Cre03.g143887.t1.1	CHLRE_03g143907v5
Cre03.g143907.t1.1	CHLRE_03g143927v5
Cre03.g143927.t1.1	CHLRE_03g143947v5
Cre03.g143947.t1.1	CHLRE_03g143967v5
Cre03.g143967.t1.1	CHLRE_03g143987v5
Cre03.g143987.t1.1	CHLRE_03g144011v5
Cre03.g144011.t1.1	CHLRE_03g144031v5
Cre03.g144031.t1.1	CHLRE_03g144064v5
Cre03.g144064.t1.1	CHLRE_03g144084v5
Cre03.g144084.t1.1	CHLRE_03g144104v5
Cre03.g144104.t1.1	CHLRE_03g144124v5
Cre03.g144124.t1.1	CHLRE_03g144144v5
Cre03.g144144.t1.1	CHLRE_03g144164v5
Cre03.g144164.t1.1	CHLRE_03g144184v5
Cre03.g144184.t1.1	CHLRE_03g144204v5
Cre03.g144204.t1.1	CHLRE_03g144224v5
Cre03.g144224.t1.1	CHLRE_03g144244v5
Cre03.g144244.t1.1	CHLRE_03g144264v5
Cre03.g144264.t1.1	CHLRE_03g144284v5
Cre03.g144284.t1.1	CHLRE_03g144304v5
Cre03.g144304.t1.1	CHLRE_03g144324v5
Cre03.g144324.t1.1	CHLRE_03g144344v5
Cre03.g144344.t1.1	CHLRE_03g144364v5
Cre03.g144364.t1.1	CHLRE_03g144384v5
Cre03.g144384.t1.1	CHLRE_03g144404v5
Cre03.g144404.t1.1	CHLRE_03g144424v5
Cre03.g144424.t1.1	CHLRE_03g144444v5
Cre03.g144444.t1.1	CHLRE_03g144464v5
Cre03.g144464.t1.1	CHLRE_03g144484v5
Cre03.g144484.t1.1	CHLRE_03g144504v5
Cre03.g144504.t1.1	CHLRE_03g144524v5
Cre03.g144524.t1.1	CHLRE_03g144544v5
Cre03.g144544.t1.1	CHLRE_03g144564v5
Cre03.g144564.t1.1	CHLRE_03g144584v5
Cre03.g144584.t1.1	CHLRE_03g144607v5
Cre03.g144607.t1.1	CHLRE_03g144627v5
Cre03.g144627.t1.1	CHLRE_03g144647v5
Cre03.g144647.t1.1	CHLRE_03g144667v5
Cre03.g144667.t1.1	CHLRE_03g144687v5
Cre03.g144687.t1.1	CHLRE_03g144707v5
Cre03.g144707.t1.1	CHLRE_03g144727v5
Cre03.g144727.t1.1	CHLRE_03g144747v5
Cre03.g144747.t1.1	CHLRE_03g144767v5
Cre03.g144767.t1.1	CHLRE_03g144787v5
Cre03.g144787.t1.1	CHLRE_03g144807v5
Cre03.g144807.t1.1	CHLRE_03g144827v5
Cre03.g144827.t1.1	CHLRE_03g144847v5
Cre03.g144847.t1.1	CHLRE_03g144867v5
Cre03.g144867.t1.1	CHLRE_03g144887v5
Cre03.g144887.t1.1	CHLRE_03g144907v5
Cre03.g144907.t1.1	CHLRE_03g144927v5
Cre03.g144927.t1.1	CHLRE_03g144947v5
Cre03.g144947.t1.1	CHLRE_03g144967v5
Cre03.g144967.t1.1	CHLRE_03g144987v5
Cre03.g144987.t1.1	CHLRE_03g145007v5
Cre03.g145007.t1.1	CHLRE_03g145027v5
Cre03.g145027.t1.1	CHLRE_03g145047v5
Cre03.g145047.t1.1	CHLRE_03g145067v5
Cre03.g145067.t1.1	CHLRE_03g145087v5
Cre03.g145087.t1.1	CHLRE_03g145107v5
Cre03.g145107.t1.1	CHLRE_03g145127v5
Cre03.g145127.t1.1	CHLRE_03g145147v5
Cre03.g145147.t1.1	CHLRE_03g145167v5
Cre03.g145167.t1.1	CHLRE_03g145187v5
Cre03.g145187.t1.1	CHLRE_03g145207v5
Cre03.g145207.t1.1	CHLRE_03g145227v5
Cre03.g145227.t1.1	CHLRE_03g145247v5
Cre03.g145247.t1.1	CHLRE_03g145267v5
Cre03.g145267.t1.1	CHLRE_03g145287v5
Cre03.g145287.t1.1	CHLRE_03g145307v5
Cre03.g145307.t1.1	CHLRE_03g145327v5
Cre03.g145327.t1.1	CHLRE_03g145347v5
Cre03.g145347.t1.1	CHLRE_03g145367v5
Cre03.g145367.t1.1	CHLRE_03g145387v5
Cre03.g145387.t1.1	CHLRE_03g145407v5
Cre03.g145407.t1.1	CHLRE_03g145427v5
Cre03.g145427.t1.1	CHLRE_03g145447v5
Cre03.g145447.t1.1	CHLRE_03g145467v5
Cre03.g145467.t1.1	CHLRE_03g145487v5
Cre03.g145487.t1.1	CHLRE_03g145507v5
Cre03.g145507.t1.1	CHLRE_03g145527v5
Cre03.g145527.t1.1	CHLRE_03g145547v5
Cre03.g145547.t1.1	CHLRE_03g145567v5
Cre03.g145567.t1.1	CHLRE_03g145587v5
Cre03.g145587.t1.1	CHLRE_03g145607v5
Cre03.g145607.t1.1	CHLRE_03g145627v5
Cre03.g145627.t1.1	CHLRE_03g145647v5
Cre03.g145647.t1.1	CHLRE_03g145667v5
Cre03.g145667.t1.1	CHLRE_03g145687v5
Cre03.g145687.t1.1	CHLRE_03g145707v5
Cre03.g145707.t1.1	CHLRE_03g145727v5
Cre03.g145727.t1.1	CHLRE_03g145747v5
Cre03.g145747.t1.1	CHLRE_03g145767v5
Cre03.g145767.t1.1	CHLRE_03g145787v5
Cre03.g145787.t1.1	CHLRE_03g145807v5
Cre03.g145807.t1.1	CHLRE_03g145827v5
Cre03.g145827.t1.1	CHLRE_03g145847v5
Cre03.g145847.t1.1	CHLRE_03g145867v5
Cre03.g145867.t1.1	CHLRE_03g145887v5
Cre03.g145887.t1.1	CHLRE_03g145907v5
Cre03.g145907.t1.1	CHLRE_03g145927v5
Cre03.g145927.t1.1	CHLRE_03g145947v5
Cre03.g145947.t1.1	CHLRE_03g145967v5
Cre03.g145967.t1.1	CHLRE_03g145987v5
Cre03.g145987.t1.1	CHLRE_03g146007v5
Cre03.g146007.t1.1	CHLRE_03g146027v5
Cre03.g146027.t1.1	CHLRE_03g146047v5
Cre03.g146047.t1.1	CHLRE_03g146067v5
Cre03.g146067.t1.1	CHLRE_03g146087v5
Cre03.g146087.t1.1	CHLRE_03g146107v5
Cre03.g146107.t1.1	CHLRE_03g146127v5
Cre03.g146127.t1.1	CHLRE_03g146147v5
Cre03.g146147.t1.1	CHLRE_03g146167v5
Cre03.g146167.t1.1	CHLRE_03g146187v5
Cre03.g146187.t1.1	CHLRE_03g146207v5
Cre03.g146207.t1.1	CHLRE_03g146227v5
Cre03.g146227.t1.1	CHLRE_03g146247v5
Cre03.g146247.t1.1	CHLRE_03g146267v5
Cre03.g146267.t1.1	CHLRE_03g146287v5
Cre03.g146287.t1.1	CHLRE_03g146307v5
Cre03.g146307.t1.1	CHLRE_03g146327v5
Cre03.g146327.t1.1	CHLRE_03g146347v5
Cre03.g146347.t1.1	CHLRE_03g146367v5
Cre03.g146367.t1.1	CHLRE_03g146387v5
Cre03.g146387.t1.1	CHLRE_03g146407v5
Cre03.g146407.t1.1	CHLRE_03g146427v5
Cre03.g146427.t1.1	CHLRE_03g146447v5
Cre03.g146447.t1.1	CHLRE_03g146467v5
Cre03.g146467.t1.1	CHLRE_03g146487v5
Cre03.g146487.t1.1	CHLRE_03g146507v5
Cre03.g146507.t1.1	CHLRE_03g146527v5
Cre03.g146527.t1.1	CHLRE_03g146547v5
Cre03.g146547.t1.1	CHLRE_03g146567v5
Cre03.g146567.t1.1	CHLRE_03g146587v5
Cre03.g146587.t1.1	CHLRE_03g146607v5
Cre03.g146607.t1.1	CHLRE_03g146627v5
Cre03.g146627.t1.1	CHLRE_03g146647v5
Cre03.g146647.t1.1	CHLRE_03g146667v5
Cre03.g146667.t1.1	CHLRE_03g146687v5
Cre03.g146687.t1.1	CHLRE_03g146707v5
Cre03.g146707.t1.1	CHLRE_03g146727v5
Cre03.g146727.t1.1	CHLRE_03g146747v5
Cre03.g146747.t1.1	CHLRE_03g146767v5
Cre03.g146767.t1.1	CHLRE_03g146787v5
Cre03.g146787.t1.1	CHLRE_03g146807v5
Cre03.g146807.t1.1	CHLRE_03g146827v5
Cre03.g146827.t1.1	CHLRE_03g146847v5
Cre03.g146847.t1.1	CHLRE_03g146867v5
Cre03.g146867.t1.1	CHLRE_03g146887v5
Cre03.g146887.t1.1	CHLRE_03g148000v5
Cre03.g148000.t1.1	CHLRE_03g148050v5
Cre03.g148050.t1.1	CHLRE_03g148100v5
Cre03.g148100.t1.1	CHLRE_03g148150v5
Cre03.g148150.t1.1	CHLRE_03g148201v5
Cre03.g148201.t1.1	CHLRE_03g148250v5
Cre03.g148250.t1.1	CHLRE_03g148300v5
Cre03.g148300.t1.1	CHLRE_03g148350v5
Cre03.g148350.t1.1	CHLRE_03g148400v5
Cre03.g148400.t1.1	CHLRE_03g148450v5
Cre03.g148450.t1.1	CHLRE_03g148500v5
Cre03.g148500.t1.1	CHLRE_03g148700v5
Cre03.g148700.t1.1	CHLRE_03g148750v5
Cre03.g148750.t1.1	CHLRE_03g148800v5
Cre03.g148800.t1.1	CHLRE_03g148850v5
Cre03.g148850.t1.1	CHLRE_03g148900v5
Cre03.g148900.t1.1	CHLRE_03g148950v5
Cre03.g148950.t1.1	CHLRE_03g149001v5
Cre03.g149001.t1.1	CHLRE_03g149050v5
Cre03.g149050.t1.1	CHLRE_03g149100v5
Cre03.g149100.t1.1	CHLRE_03g149150v5
Cre03.g149150.t1.1	CHLRE_03g149201v5
Cre03.g149201.t1.1	CHLRE_03g149250v5
Cre03.g149250.t1.1	CHLRE_03g149300v5
Cre03.g149300.t1.1	CHLRE_03g149350v5
Cre03.g149350.t1.1	CHLRE_03g149400v5
Cre03.g149400.t1.1	CHLRE_03g149450v5
Cre03.g149450.t1.1	CHLRE_03g149500v5
Cre03.g149500.t1.1	CHLRE_03g149517v5
Cre03.g149517.t1.1	CHLRE_03g149550v5
Cre03.g149550.t1.1	CHLRE_03g149600v5
Cre03.g149600.t1.1	CHLRE_03g149650v5
Cre03.g149650.t1.1	CHLRE_03g149700v5
Cre03.g149700.t1.1	CHLRE_03g149750v5
Cre03.g149750.t1.1	CHLRE_03g149800v5
Cre03.g149800.t1.1	CHLRE_03g149851v5
Cre03.g149851.t1.1	CHLRE_03g149900v5
Cre03.g149900.t1.1	CHLRE_03g149950v5
Cre03.g149950.t1.1	CHLRE_03g150000v5
Cre03.g150000.t1.1	CHLRE_03g150050v5
Cre03.g150050.t1.1	CHLRE_03g150101v5
Cre03.g150101.t1.1	CHLRE_03g150151v5
Cre03.g150151.t1.1	CHLRE_03g150200v5
Cre03.g150200.t1.1	CHLRE_03g150251v5
Cre03.g150251.t1.1	CHLRE_03g150300v5
Cre03.g150300.t1.1	CHLRE_03g150350v5
Cre03.g150350.t1.1	CHLRE_03g150400v5
Cre03.g150400.t1.1	CHLRE_03g150450v5
Cre03.g150450.t1.1	CHLRE_03g150500v5
Cre03.g150500.t1.1	CHLRE_03g150550v5
Cre03.g150550.t1.1	CHLRE_03g150600v5
Cre03.g150600.t1.1	CHLRE_03g150650v5
Cre03.g150650.t1.1	CHLRE_03g150700v5
Cre03.g150700.t1.1	CHLRE_03g150750v5
Cre03.g150750.t1.1	CHLRE_03g150767v5
Cre03.g150767.t1.1	CHLRE_03g150783v5
Cre03.g150783.t1.1	CHLRE_03g150800v5
Cre03.g150800.t1.1	CHLRE_03g150850v5
Cre03.g150850.t1.1	CHLRE_03g150900v5
Cre03.g150900.t1.1	CHLRE_03g150950v5
Cre03.g150950.t1.1	CHLRE_03g151000v5
Cre03.g151000.t1.1	CHLRE_03g151050v5
Cre03.g151050.t1.1	CHLRE_03g151100v5
Cre03.g151100.t1.1	CHLRE_03g151150v5
Cre03.g151150.t1.1	CHLRE_03g151200v5
Cre03.g151200.t1.1	CHLRE_03g151250v5
Cre03.g151250.t1.1	CHLRE_03g151300v5
Cre03.g151300.t1.1	CHLRE_03g151351v5
Cre03.g151351.t1.1	CHLRE_03g151400v5
Cre03.g151400.t1.1	CHLRE_03g151450v5
Cre03.g151450.t1.1	CHLRE_03g151500v5
Cre03.g151500.t1.1	CHLRE_03g151550v5
Cre03.g151550.t1.1	CHLRE_03g151600v5
Cre03.g151600.t1.1	CHLRE_03g151650v5
Cre03.g151650.t1.1	CHLRE_03g151700v5
Cre03.g151700.t1.1	CHLRE_03g151750v5
Cre03.g151750.t1.1	CHLRE_03g151800v5
Cre03.g151800.t1.1	CHLRE_03g151850v5
Cre03.g151850.t1.1	CHLRE_03g151900v5
Cre03.g151900.t1.1	CHLRE_03g151950v5
Cre03.g151950.t1.1	CHLRE_03g152000v5
Cre03.g152000.t1.1	CHLRE_03g152050v5
Cre03.g152050.t1.1	CHLRE_03g152100v5
Cre03.g152100.t1.1	CHLRE_03g152150v5
Cre03.g152150.t1.1	CHLRE_03g152200v5
Cre03.g152200.t1.1	CHLRE_03g152250v5
Cre03.g152250.t1.1	CHLRE_03g152300v5
Cre03.g152300.t1.1	CHLRE_03g152326v5
Cre03.g152326.t1.1	CHLRE_03g152350v5
Cre03.g152350.t1.1	CHLRE_03g152400v5
Cre03.g152400.t1.1	CHLRE_03g152425v5
Cre03.g152425.t1.1	CHLRE_03g152450v5
Cre03.g152450.t1.1	CHLRE_03g152500v5
Cre03.g152500.t1.1	CHLRE_03g152550v5
Cre03.g152550.t1.1	CHLRE_03g152600v5
Cre03.g152600.t1.1	CHLRE_03g152650v5
Cre03.g152650.t1.1	CHLRE_03g152701v5
Cre03.g152701.t1.1	CHLRE_03g152750v5
Cre03.g152750.t1.1	CHLRE_03g152800v5
Cre03.g152800.t1.1	CHLRE_03g152850v5
Cre03.g152850.t1.1	CHLRE_03g152900v5
Cre03.g152900.t1.1	CHLRE_03g152950v5
Cre03.g152950.t1.1	CHLRE_03g153000v5
Cre03.g153000.t1.1	CHLRE_03g153050v5
Cre03.g153050.t1.1	CHLRE_03g153076v5
Cre03.g153076.t1.1	CHLRE_03g153100v5
Cre03.g153100.t1.1	CHLRE_03g153150v5
Cre03.g153150.t1.1	CHLRE_03g153200v5
Cre03.g153200.t1.1	CHLRE_03g153250v5
Cre03.g153250.t1.1	CHLRE_03g153300v5
Cre03.g153300.t1.1	CHLRE_03g153306v5
Cre03.g153306.t1.1	CHLRE_03g153400v5
Cre03.g153400.t1.1	CHLRE_03g153450v5
Cre03.g153450.t1.1	CHLRE_03g153500v5
Cre03.g153500.t1.1	CHLRE_03g153550v5
Cre03.g153550.t1.1	CHLRE_03g153600v5
Cre03.g153600.t1.1	CHLRE_03g153650v5
Cre03.g153650.t1.1	CHLRE_03g153700v5
Cre03.g153700.t1.1	CHLRE_03g153750v5
Cre03.g153750.t1.1	CHLRE_03g153800v5
Cre03.g153800.t1.1	CHLRE_03g153850v5
Cre03.g153850.t1.1	CHLRE_03g153900v5
Cre03.g153900.t1.1	CHLRE_03g153950v5
Cre03.g153950.t1.1	CHLRE_03g154000v5
Cre03.g154000.t1.1	CHLRE_03g154050v5
Cre03.g154050.t1.1	CHLRE_03g154100v5
Cre03.g154100.t1.1	CHLRE_03g154150v5
Cre03.g154150.t1.1	CHLRE_03g154200v5
Cre03.g154200.t1.1	CHLRE_03g154225v5
Cre03.g154225.t1.1	CHLRE_03g154250v5
Cre03.g154250.t1.1	CHLRE_03g154300v5
Cre03.g154300.t1.1	CHLRE_03g154350v5
Cre03.g154350.t1.1	CHLRE_03g154400v5
Cre03.g154400.t1.1	CHLRE_03g154425v5
Cre03.g154425.t1.1	CHLRE_03g154500v5
Cre03.g154500.t1.1	CHLRE_03g154550v5
Cre03.g154550.t1.1	CHLRE_03g154600v5
Cre03.g154600.t1.1	CHLRE_03g154651v5
Cre03.g154651.t1.1	CHLRE_03g154700v5
Cre03.g154700.t1.1	CHLRE_03g154726v5
Cre03.g154726.t1.1	CHLRE_03g154750v5
Cre03.g154750.t1.1	CHLRE_03g154800v5
Cre03.g154800.t1.1	CHLRE_03g154850v5
Cre03.g154850.t1.1	CHLRE_03g154900v5
Cre03.g154900.t1.1	CHLRE_03g154950v5
Cre03.g154950.t1.1	CHLRE_03g155001v5
Cre03.g155001.t1.1	CHLRE_03g155051v5
Cre03.g155051.t1.1	CHLRE_03g155100v5
Cre03.g155100.t1.1	CHLRE_03g155150v5
Cre03.g155150.t1.1	CHLRE_03g155200v5
Cre03.g155200.t1.1	CHLRE_03g155250v5
Cre03.g155250.t1.1	CHLRE_03g155300v5
Cre03.g155300.t1.1	CHLRE_03g155350v5
Cre03.g155350.t1.1	CHLRE_03g155400v5
Cre03.g155400.t1.1	CHLRE_03g155450v5
Cre03.g155450.t1.1	CHLRE_03g155500v5
Cre03.g155500.t1.1	CHLRE_03g155501v5
Cre03.g155501.t1.1	CHLRE_03g155527v5
Cre03.g155527.t1.1	CHLRE_03g155550v5
Cre03.g155550.t1.1	CHLRE_03g155600v5
Cre03.g155600.t1.1	CHLRE_03g155650v5
Cre03.g155650.t1.1	CHLRE_03g155700v5
Cre03.g155700.t1.1	CHLRE_03g155750v5
Cre03.g155750.t1.1	CHLRE_03g155800v5
Cre03.g155800.t1.1	CHLRE_03g155850v5
Cre03.g155850.t1.1	CHLRE_03g155900v5
Cre03.g155900.t1.1	CHLRE_03g155926v5
Cre03.g155926.t1.1	CHLRE_03g155950v5
Cre03.g155950.t1.1	CHLRE_03g155976v5
Cre03.g155976.t1.1	CHLRE_03g156000v5
Cre03.g156000.t1.1	CHLRE_03g156050v5
Cre03.g156050.t1.1	CHLRE_03g156100v5
Cre03.g156100.t1.1	CHLRE_03g156150v5
Cre03.g156150.t1.1	CHLRE_03g156200v5
Cre03.g156200.t1.1	CHLRE_03g156250v5
Cre03.g156250.t1.1	CHLRE_03g156300v5
Cre03.g156300.t1.1	CHLRE_03g156350v5
Cre03.g156350.t1.1	CHLRE_03g156400v5
Cre03.g156400.t1.1	CHLRE_03g156450v5
Cre03.g156450.t1.1	CHLRE_03g156476v5
Cre03.g156476.t1.1	CHLRE_03g156500v5
Cre03.g156500.t1.1	CHLRE_03g156550v5
Cre03.g156550.t1.1	CHLRE_03g156600v5
Cre03.g156600.t1.1	CHLRE_03g156650v5
Cre03.g156650.t1.1	CHLRE_03g156700v5
Cre03.g156700.t1.1	CHLRE_03g156750v5
Cre03.g156750.t1.1	CHLRE_03g156800v5
Cre03.g156800.t1.1	CHLRE_03g156850v5
Cre03.g156850.t1.1	CHLRE_03g156900v5
Cre03.g156900.t1.1	CHLRE_03g156950v5
Cre03.g156950.t1.1	CHLRE_03g157000v5
Cre03.g157000.t1.1	CHLRE_03g157050v5
Cre03.g157050.t1.1	CHLRE_03g157100v5
Cre03.g157100.t1.1	CHLRE_03g157150v5
Cre03.g157150.t1.1	CHLRE_03g157200v5
Cre03.g157200.t1.1	CHLRE_03g157250v5
Cre03.g157250.t1.1	CHLRE_03g157300v5
Cre03.g157300.t1.1	CHLRE_03g157326v5
Cre03.g157326.t1.1	CHLRE_03g157350v5
Cre03.g157350.t1.1	CHLRE_03g157400v5
Cre03.g157400.t1.1	CHLRE_03g157426v5
Cre03.g157426.t1.1	CHLRE_03g157450v5
Cre03.g157450.t1.1	CHLRE_03g157475v5
Cre03.g157475.t1.1	CHLRE_03g157501v5
Cre03.g157501.t1.1	CHLRE_03g157526v5
Cre03.g157526.t1.1	CHLRE_03g157550v5
Cre03.g157550.t1.1	CHLRE_03g157564v5
Cre03.g157564.t1.1	CHLRE_03g157600v5
Cre03.g157600.t1.1	CHLRE_03g157650v5
Cre03.g157650.t1.1	CHLRE_03g157700v5
Cre03.g157700.t1.1	CHLRE_03g157725v5
Cre03.g157725.t1.1	CHLRE_03g157751v5
Cre03.g157751.t1.1	CHLRE_03g157800v5
Cre03.g157800.t1.1	CHLRE_03g157850v5
Cre03.g157850.t1.1	CHLRE_03g157900v5
Cre03.g157900.t1.1	CHLRE_03g157950v5
Cre03.g157950.t1.1	CHLRE_03g158000v5
Cre03.g158000.t1.1	CHLRE_03g158050v5
Cre03.g158050.t1.1	CHLRE_03g158100v5
Cre03.g158100.t1.1	CHLRE_03g158150v5
Cre03.g158150.t1.1	CHLRE_03g158200v5
Cre03.g158200.t1.1	CHLRE_03g158250v5
Cre03.g158250.t1.1	CHLRE_03g158300v5
Cre03.g158300.t1.1	CHLRE_03g158350v5
Cre03.g158350.t1.1	CHLRE_03g158400v5
Cre03.g158400.t1.1	CHLRE_03g158450v5
Cre03.g158450.t1.1	CHLRE_03g158464v5
Cre03.g158464.t1.1	CHLRE_03g158500v5
Cre03.g158500.t1.1	CHLRE_03g158550v5
Cre03.g158550.t1.1	CHLRE_03g158600v5
Cre03.g158600.t1.1	CHLRE_03g158650v5
Cre03.g158650.t1.1	CHLRE_03g158700v5
Cre03.g158700.t1.1	CHLRE_03g158750v5
Cre03.g158750.t1.1	CHLRE_03g158800v5
Cre03.g158800.t1.1	CHLRE_03g158850v5
Cre03.g158850.t1.1	CHLRE_03g158900v5
Cre03.g158900.t1.1	CHLRE_03g158950v5
Cre03.g158950.t1.1	CHLRE_03g159000v5
Cre03.g159000.t1.1	CHLRE_03g159016v5
Cre03.g159016.t1.1	CHLRE_03g159083v5
Cre03.g159083.t1.1	CHLRE_03g159100v5
Cre03.g159100.t1.1	CHLRE_03g159150v5
Cre03.g159150.t1.1	CHLRE_03g159200v5
Cre03.g159200.t1.1	CHLRE_03g159254v5
Cre03.g159254.t1.1	CHLRE_03g159300v5
Cre03.g159300.t1.1	CHLRE_03g159350v5
Cre03.g159350.t1.1	CHLRE_03g159400v5
Cre03.g159400.t1.1	CHLRE_03g159500v5
Cre03.g159500.t1.1	CHLRE_03g159550v5
Cre03.g159550.t1.1	CHLRE_03g159581v5
Cre03.g159581.t1.1	CHLRE_03g159600v5
Cre03.g159600.t1.1	CHLRE_03g159650v5
Cre03.g159650.t1.1	CHLRE_03g159700v5
Cre03.g159700.t1.1	CHLRE_03g159750v5
Cre03.g159750.t1.1	CHLRE_03g159800v5
Cre03.g159800.t1.1	CHLRE_03g159851v5
Cre03.g159851.t1.1	CHLRE_03g159900v5
Cre03.g159900.t1.1	CHLRE_03g159950v5
Cre03.g159950.t1.1	CHLRE_03g160000v5
Cre03.g160000.t1.1	CHLRE_03g160050v5
Cre03.g160050.t1.1	CHLRE_03g160100v5
Cre03.g160100.t1.1	CHLRE_03g160150v5
Cre03.g160150.t1.1	CHLRE_03g160200v5
Cre03.g160200.t1.1	CHLRE_03g160250v5
Cre03.g160250.t1.1	CHLRE_03g160300v5
Cre03.g160300.t1.1	CHLRE_03g160350v5
Cre03.g160350.t1.1	CHLRE_03g160400v5
Cre03.g160400.t1.1	CHLRE_03g160450v5
Cre03.g160450.t1.1	CHLRE_03g160500v5
Cre03.g160500.t1.1	CHLRE_03g160550v5
Cre03.g160550.t1.1	CHLRE_03g160600v5
Cre03.g160600.t1.1	CHLRE_03g160650v5
Cre03.g160650.t1.1	CHLRE_03g160700v5
Cre03.g160700.t1.1	CHLRE_03g160750v5
Cre03.g160750.t1.1	CHLRE_03g160800v5
Cre03.g160800.t1.1	CHLRE_03g160850v5
Cre03.g160850.t1.1	CHLRE_03g160900v5
Cre03.g160900.t1.1	CHLRE_03g160950v5
Cre03.g160950.t1.1	CHLRE_03g160953v5
Cre03.g160953.t1.1	CHLRE_03g161000v5
Cre03.g161000.t1.1	CHLRE_03g161050v5
Cre03.g161050.t1.1	CHLRE_03g161081v5
Cre03.g161081.t1.1	CHLRE_03g161100v5
Cre03.g161100.t1.1	CHLRE_03g1611501v5
Cre03.g161150.t1.1	CHLRE_03g1611502v5
Cre03.g161250.t1.1	CHLRE_03g161250v5
Cre03.g161301.t1.1	CHLRE_03g161301v5
Cre03.g161350.t1.1	CHLRE_03g161350v5
Cre03.g161363.t1.1	CHLRE_03g161363v5
Cre03.g161400.t1.1	CHLRE_03g161400v5
Cre03.g161450.t1.1	CHLRE_03g161450v5
Cre03.g161500.t1.1	CHLRE_03g161500v5
Cre03.g161550.t1.1	CHLRE_03g161550v5
Cre03.g161578.t1.1	CHLRE_03g161578v5
Cre03.g161606.t1.1	CHLRE_03g161606v5
Cre03.g161750.t1.1	CHLRE_03g161750v5
Cre03.g161800.t1.1	CHLRE_03g161800v5
Cre03.g161850.t1.1	CHLRE_03g161850v5
Cre03.g161900.t1.1	CHLRE_03g161900v5
Cre03.g161950.t1.1	CHLRE_03g161950v5
Cre03.g161976.t1.1	CHLRE_03g161976v5
Cre03.g162000.t1.1	CHLRE_03g162000v5
Cre03.g162050.t1.1	CHLRE_03g162050v5
Cre03.g162100.t1.1	CHLRE_03g162100v5
Cre03.g162150.t1.1	CHLRE_03g162150v5
Cre03.g162200.t1.1	CHLRE_03g162200v5
Cre03.g162250.t1.1	CHLRE_03g162250v5
Cre03.g162300.t1.1	CHLRE_03g162300v5
Cre03.g162333.t1.1	CHLRE_03g162333v5
Cre03.g162366.t1.1	CHLRE_03g162366v5
Cre03.g162400.t1.1	CHLRE_03g162400v5
Cre03.g162450.t1.1	CHLRE_03g162450v5
Cre03.g162500.t1.1	CHLRE_03g162500v5
Cre03.g162550.t1.1	CHLRE_03g162550v5
Cre03.g162601.t1.1	CHLRE_03g162601v5
Cre03.g162650.t1.1	CHLRE_03g162650v5
Cre03.g162701.t1.1	CHLRE_03g162701v5
Cre03.g162750.t1.1	CHLRE_03g162750v5
Cre03.g162800.t1.1	CHLRE_03g162800v5
Cre03.g162850.t1.1	CHLRE_03g162850v5
Cre03.g162900.t1.1	CHLRE_03g162900v5
Cre03.g162950.t1.1	CHLRE_03g162950v5
Cre03.g163000.t1.1	CHLRE_03g163000v5
Cre03.g163050.t1.1	CHLRE_03g163050v5
Cre03.g163150.t1.1	CHLRE_03g163150v5
Cre03.g163200.t1.1	CHLRE_03g163200v5
Cre03.g163250.t1.1	CHLRE_03g163250v5
Cre03.g163266.t1.1	CHLRE_03g163266v5
Cre03.g163300.t1.1	CHLRE_03g163300v5
Cre03.g163350.t1.1	CHLRE_03g163350v5
Cre03.g163376.t1.1	CHLRE_03g163376v5
Cre03.g163400.t1.1	CHLRE_03g163400v5
Cre03.g163450.t1.1	CHLRE_03g163450v5
Cre03.g163500.t1.1	CHLRE_03g163500v5
